Step,StepId,Array,Key,n,key,low,mid,high,result
1,mainCall,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,,,,
2,setLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,0,,,
3,setHigh,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,0,,15,
4,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,0,,15,
5,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,0,7,15,
6,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,0,7,15,
7,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,0,7,15,
8,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,7,15,
9,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,7,15,
10,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,11,15,
11,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,11,15,
12,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,8,11,15,
13,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,12,11,15,
14,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,12,11,15,
15,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,12,13,15,
16,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,12,13,15,
17,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,12,13,15,
18,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,14,13,15,
19,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,14,13,15,
20,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,14,14,15,
21,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,14,14,15,
22,checkLess,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,14,14,15,
23,updateLow,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,15,14,15,
24,whileLoop,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,15,14,15,
25,setMid,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,15,15,15,
26,checkEqual,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,15,15,15,
27,returnFound,"[2, 5, 8, 10, 40, 42, 45, 80, 85, 90, 150, 160, 170, 300, 310, 500]",500,16,500,15,15,15,15
