Step,StepId,Array,Key,n,key,i,result
1,mainCall,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,,
2,setI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,0,
3,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,0,
4,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,0,
5,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,1,
6,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,1,
7,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,1,
8,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,2,
9,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,2,
10,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,2,
11,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,3,
12,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,3,
13,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,3,
14,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,4,
15,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,4,
16,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,4,
17,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,5,
18,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,5,
19,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,5,
20,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,6,
21,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,6,
22,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,6,
23,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,7,
24,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,7,
25,checkEqual,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,7,
26,incI,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,8,
27,whileLoop,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,8,
28,returnMiss,"[20, 40, 30, 60, 80, 70, 50, 10]",81,8,81,8,NOT_FOUND
