# sequence=300,200,100
Step,StepId,key,current,parent,side,root
1,mainLoop,300,null,null,—,null
2,callInsert,300,null,null,—,null
3,createNode,300,null,null,—,null
4,checkEmpty,300,null,null,—,null
5,returnNew,300,300,null,—,300
6,mainLoop,200,null,null,—,300
7,callInsert,200,null,null,—,300
8,createNode,200,null,null,—,300
9,checkEmpty,200,null,null,—,300
10,setCurrent,200,300,null,—,300
11,setParent,200,300,null,—,300
12,whileLoop,200,300,null,—,300
13,parentAssign,200,300,300,—,300
14,checkLess,200,300,300,left,300
15,goLeft,200,null,300,left,300
16,whileLoop,200,null,300,left,300
17,attachCheck,200,null,300,left,300
18,attachLeft,200,null,300,left,300
19,returnRoot,200,null,300,left,300
20,mainLoop,100,null,null,—,300
21,callInsert,100,null,null,—,300
22,createNode,100,null,null,—,300
23,checkEmpty,100,null,null,—,300
24,setCurrent,100,300,null,—,300
25,setParent,100,300,null,—,300
26,whileLoop,100,300,null,—,300
27,parentAssign,100,300,300,—,300
28,checkLess,100,300,300,left,300
29,goLeft,100,200,300,left,300
30,whileLoop,100,200,300,left,300
31,parentAssign,100,200,200,left,300
32,checkLess,100,200,200,left,300
33,goLeft,100,null,200,left,300
34,whileLoop,100,null,200,left,300
35,attachCheck,100,null,200,left,300
36,attachLeft,100,null,200,left,300
37,returnRoot,100,null,200,left,300
