# sequence=500,400,300,200,100
Step,StepId,key,current,parent,side,root
1,mainLoop,500,null,null,—,null
2,callInsert,500,null,null,—,null
3,createNode,500,null,null,—,null
4,checkEmpty,500,null,null,—,null
5,returnNew,500,500,null,—,500
6,mainLoop,400,null,null,—,500
7,callInsert,400,null,null,—,500
8,createNode,400,null,null,—,500
9,checkEmpty,400,null,null,—,500
10,setCurrent,400,500,null,—,500
11,setParent,400,500,null,—,500
12,whileLoop,400,500,null,—,500
13,parentAssign,400,500,500,—,500
14,checkLess,400,500,500,left,500
15,goLeft,400,null,500,left,500
16,whileLoop,400,null,500,left,500
17,attachCheck,400,null,500,left,500
18,attachLeft,400,null,500,left,500
19,returnRoot,400,null,500,left,500
20,mainLoop,300,null,null,—,500
21,callInsert,300,null,null,—,500
22,createNode,300,null,null,—,500
23,checkEmpty,300,null,null,—,500
24,setCurrent,300,500,null,—,500
25,setParent,300,500,null,—,500
26,whileLoop,300,500,null,—,500
27,parentAssign,300,500,500,—,500
28,checkLess,300,500,500,left,500
29,goLeft,300,400,500,left,500
30,whileLoop,300,400,500,left,500
31,parentAssign,300,400,400,left,500
32,checkLess,300,400,400,left,500
33,goLeft,300,null,400,left,500
34,whileLoop,300,null,400,left,500
35,attachCheck,300,null,400,left,500
36,attachLeft,300,null,400,left,500
37,returnRoot,300,null,400,left,500
38,mainLoop,200,null,null,—,500
39,callInsert,200,null,null,—,500
40,createNode,200,null,null,—,500
41,checkEmpty,200,null,null,—,500
42,setCurrent,200,500,null,—,500
43,setParent,200,500,null,—,500
44,whileLoop,200,500,null,—,500
45,parentAssign,200,500,500,—,500
46,checkLess,200,500,500,left,500
47,goLeft,200,400,500,left,500
48,whileLoop,200,400,500,left,500
49,parentAssign,200,400,400,left,500
50,checkLess,200,400,400,left,500
51,goLeft,200,300,400,left,500
52,whileLoop,200,300,400,left,500
53,parentAssign,200,300,300,left,500
54,checkLess,200,300,300,left,500
55,goLeft,200,null,300,left,500
56,whileLoop,200,null,300,left,500
57,attachCheck,200,null,300,left,500
58,attachLeft,200,null,300,left,500
59,returnRoot,200,null,300,left,500
60,mainLoop,100,null,null,—,500
61,callInsert,100,null,null,—,500
62,createNode,100,null,null,—,500
63,checkEmpty,100,null,null,—,500
64,setCurrent,100,500,null,—,500
65,setParent,100,500,null,—,500
66,whileLoop,100,500,null,—,500
67,parentAssign,100,500,500,—,500
68,checkLess,100,500,500,left,500
69,goLeft,100,400,500,left,500
70,whileLoop,100,400,500,left,500
71,parentAssign,100,400,400,left,500
72,checkLess,100,400,400,left,500
73,goLeft,100,300,400,left,500
74,whileLoop,100,300,400,left,500
75,parentAssign,100,300,300,left,500
76,checkLess,100,300,300,left,500
77,goLeft,100,200,300,left,500
78,whileLoop,100,200,300,left,500
79,parentAssign,100,200,200,left,500
80,checkLess,100,200,200,left,500
81,goLeft,100,null,200,left,500
82,whileLoop,100,null,200,left,500
83,attachCheck,100,null,200,left,500
84,attachLeft,100,null,200,left,500
85,returnRoot,100,null,200,left,500
