# sequence=800,500,300,200,100,400,700,600,1100,1000,900,1200
Step,StepId,key,current,parent,side,root
1,mainLoop,800,null,null,—,null
2,callInsert,800,null,null,—,null
3,createNode,800,null,null,—,null
4,checkEmpty,800,null,null,—,null
5,returnNew,800,800,null,—,800
6,mainLoop,500,null,null,—,800
7,callInsert,500,null,null,—,800
8,createNode,500,null,null,—,800
9,checkEmpty,500,null,null,—,800
10,setCurrent,500,800,null,—,800
11,setParent,500,800,null,—,800
12,whileLoop,500,800,null,—,800
13,parentAssign,500,800,800,—,800
14,checkLess,500,800,800,left,800
15,goLeft,500,null,800,left,800
16,whileLoop,500,null,800,left,800
17,attachCheck,500,null,800,left,800
18,attachLeft,500,null,800,left,800
19,returnRoot,500,null,800,left,800
20,mainLoop,300,null,null,—,800
21,callInsert,300,null,null,—,800
22,createNode,300,null,null,—,800
23,checkEmpty,300,null,null,—,800
24,setCurrent,300,800,null,—,800
25,setParent,300,800,null,—,800
26,whileLoop,300,800,null,—,800
27,parentAssign,300,800,800,—,800
28,checkLess,300,800,800,left,800
29,goLeft,300,500,800,left,800
30,whileLoop,300,500,800,left,800
31,parentAssign,300,500,500,left,800
32,checkLess,300,500,500,left,800
33,goLeft,300,null,500,left,800
34,whileLoop,300,null,500,left,800
35,attachCheck,300,null,500,left,800
36,attachLeft,300,null,500,left,800
37,returnRoot,300,null,500,left,800
38,mainLoop,200,null,null,—,800
39,callInsert,200,null,null,—,800
40,createNode,200,null,null,—,800
41,checkEmpty,200,null,null,—,800
42,setCurrent,200,800,null,—,800
43,setParent,200,800,null,—,800
44,whileLoop,200,800,null,—,800
45,parentAssign,200,800,800,—,800
46,checkLess,200,800,800,left,800
47,goLeft,200,500,800,left,800
48,whileLoop,200,500,800,left,800
49,parentAssign,200,500,500,left,800
50,checkLess,200,500,500,left,800
51,goLeft,200,300,500,left,800
52,whileLoop,200,300,500,left,800
53,parentAssign,200,300,300,left,800
54,checkLess,200,300,300,left,800
55,goLeft,200,null,300,left,800
56,whileLoop,200,null,300,left,800
57,attachCheck,200,null,300,left,800
58,attachLeft,200,null,300,left,800
59,returnRoot,200,null,300,left,800
60,mainLoop,100,null,null,—,800
61,callInsert,100,null,null,—,800
62,createNode,100,null,null,—,800
63,checkEmpty,100,null,null,—,800
64,setCurrent,100,800,null,—,800
65,setParent,100,800,null,—,800
66,whileLoop,100,800,null,—,800
67,parentAssign,100,800,800,—,800
68,checkLess,100,800,800,left,800
69,goLeft,100,500,800,left,800
70,whileLoop,100,500,800,left,800
71,parentAssign,100,500,500,left,800
72,checkLess,100,500,500,left,800
73,goLeft,100,300,500,left,800
74,whileLoop,100,300,500,left,800
75,parentAssign,100,300,300,left,800
76,checkLess,100,300,300,left,800
77,goLeft,100,200,300,left,800
78,whileLoop,100,200,300,left,800
79,parentAssign,100,200,200,left,800
80,checkLess,100,200,200,left,800
81,goLeft,100,null,200,left,800
82,whileLoop,100,null,200,left,800
83,attachCheck,100,null,200,left,800
84,attachLeft,100,null,200,left,800
85,returnRoot,100,null,200,left,800
86,mainLoop,400,null,null,—,800
87,callInsert,400,null,null,—,800
88,createNode,400,null,null,—,800
89,checkEmpty,400,null,null,—,800
90,setCurrent,400,800,null,—,800
91,setParent,400,800,null,—,800
92,whileLoop,400,800,null,—,800
93,parentAssign,400,800,800,—,800
94,checkLess,400,800,800,left,800
95,goLeft,400,500,800,left,800
96,whileLoop,400,500,800,left,800
97,parentAssign,400,500,500,left,800
98,checkLess,400,500,500,left,800
99,goLeft,400,300,500,left,800
100,whileLoop,400,300,500,left,800
101,parentAssign,400,300,300,left,800
102,checkLess,400,300,300,right,800
103,goRight,400,null,300,right,800
104,whileLoop,400,null,300,right,800
105,attachCheck,400,null,300,right,800
106,attachRight,400,null,300,right,800
107,returnRoot,400,null,300,right,800
108,mainLoop,700,null,null,—,800
109,callInsert,700,null,null,—,800
110,createNode,700,null,null,—,800
111,checkEmpty,700,null,null,—,800
112,setCurrent,700,800,null,—,800
113,setParent,700,800,null,—,800
114,whileLoop,700,800,null,—,800
115,parentAssign,700,800,800,—,800
116,checkLess,700,800,800,left,800
117,goLeft,700,500,800,left,800
118,whileLoop,700,500,800,left,800
119,parentAssign,700,500,500,left,800
120,checkLess,700,500,500,right,800
121,goRight,700,null,500,right,800
122,whileLoop,700,null,500,right,800
123,attachCheck,700,null,500,right,800
124,attachRight,700,null,500,right,800
125,returnRoot,700,null,500,right,800
126,mainLoop,600,null,null,—,800
127,callInsert,600,null,null,—,800
128,createNode,600,null,null,—,800
129,checkEmpty,600,null,null,—,800
130,setCurrent,600,800,null,—,800
131,setParent,600,800,null,—,800
132,whileLoop,600,800,null,—,800
133,parentAssign,600,800,800,—,800
134,checkLess,600,800,800,left,800
135,goLeft,600,500,800,left,800
136,whileLoop,600,500,800,left,800
137,parentAssign,600,500,500,left,800
138,checkLess,600,500,500,right,800
139,goRight,600,700,500,right,800
140,whileLoop,600,700,500,right,800
141,parentAssign,600,700,700,right,800
142,checkLess,600,700,700,left,800
143,goLeft,600,null,700,left,800
144,whileLoop,600,null,700,left,800
145,attachCheck,600,null,700,left,800
146,attachLeft,600,null,700,left,800
147,returnRoot,600,null,700,left,800
148,mainLoop,1100,null,null,—,800
149,callInsert,1100,null,null,—,800
150,createNode,1100,null,null,—,800
151,checkEmpty,1100,null,null,—,800
152,setCurrent,1100,800,null,—,800
153,setParent,1100,800,null,—,800
154,whileLoop,1100,800,null,—,800
155,parentAssign,1100,800,800,—,800
156,checkLess,1100,800,800,right,800
157,goRight,1100,null,800,right,800
158,whileLoop,1100,null,800,right,800
159,attachCheck,1100,null,800,right,800
160,attachRight,1100,null,800,right,800
161,returnRoot,1100,null,800,right,800
162,mainLoop,1000,null,null,—,800
163,callInsert,1000,null,null,—,800
164,createNode,1000,null,null,—,800
165,checkEmpty,1000,null,null,—,800
166,setCurrent,1000,800,null,—,800
167,setParent,1000,800,null,—,800
168,whileLoop,1000,800,null,—,800
169,parentAssign,1000,800,800,—,800
170,checkLess,1000,800,800,right,800
171,goRight,1000,1100,800,right,800
172,whileLoop,1000,1100,800,right,800
173,parentAssign,1000,1100,1100,right,800
174,checkLess,1000,1100,1100,left,800
175,goLeft,1000,null,1100,left,800
176,whileLoop,1000,null,1100,left,800
177,attachCheck,1000,null,1100,left,800
178,attachLeft,1000,null,1100,left,800
179,returnRoot,1000,null,1100,left,800
180,mainLoop,900,null,null,—,800
181,callInsert,900,null,null,—,800
182,createNode,900,null,null,—,800
183,checkEmpty,900,null,null,—,800
184,setCurrent,900,800,null,—,800
185,setParent,900,800,null,—,800
186,whileLoop,900,800,null,—,800
187,parentAssign,900,800,800,—,800
188,checkLess,900,800,800,right,800
189,goRight,900,1100,800,right,800
190,whileLoop,900,1100,800,right,800
191,parentAssign,900,1100,1100,right,800
192,checkLess,900,1100,1100,left,800
193,goLeft,900,1000,1100,left,800
194,whileLoop,900,1000,1100,left,800
195,parentAssign,900,1000,1000,left,800
196,checkLess,900,1000,1000,left,800
197,goLeft,900,null,1000,left,800
198,whileLoop,900,null,1000,left,800
199,attachCheck,900,null,1000,left,800
200,attachLeft,900,null,1000,left,800
201,returnRoot,900,null,1000,left,800
202,mainLoop,1200,null,null,—,800
203,callInsert,1200,null,null,—,800
204,createNode,1200,null,null,—,800
205,checkEmpty,1200,null,null,—,800
206,setCurrent,1200,800,null,—,800
207,setParent,1200,800,null,—,800
208,whileLoop,1200,800,null,—,800
209,parentAssign,1200,800,800,—,800
210,checkLess,1200,800,800,right,800
211,goRight,1200,1100,800,right,800
212,whileLoop,1200,1100,800,right,800
213,parentAssign,1200,1100,1100,right,800
214,checkLess,1200,1100,1100,right,800
215,goRight,1200,null,1100,right,800
216,whileLoop,1200,null,1100,right,800
217,attachCheck,1200,null,1100,right,800
218,attachRight,1200,null,1100,right,800
219,returnRoot,1200,null,1100,right,800
