# sequence=700,600,500,400,300,200,100
Step,StepId,key,current,parent,side,root
1,mainLoop,700,null,null,—,null
2,callInsert,700,null,null,—,null
3,createNode,700,null,null,—,null
4,checkEmpty,700,null,null,—,null
5,returnNew,700,700,null,—,700
6,mainLoop,600,null,null,—,700
7,callInsert,600,null,null,—,700
8,createNode,600,null,null,—,700
9,checkEmpty,600,null,null,—,700
10,setCurrent,600,700,null,—,700
11,setParent,600,700,null,—,700
12,whileLoop,600,700,null,—,700
13,parentAssign,600,700,700,—,700
14,checkLess,600,700,700,left,700
15,goLeft,600,null,700,left,700
16,whileLoop,600,null,700,left,700
17,attachCheck,600,null,700,left,700
18,attachLeft,600,null,700,left,700
19,returnRoot,600,null,700,left,700
20,mainLoop,500,null,null,—,700
21,callInsert,500,null,null,—,700
22,createNode,500,null,null,—,700
23,checkEmpty,500,null,null,—,700
24,setCurrent,500,700,null,—,700
25,setParent,500,700,null,—,700
26,whileLoop,500,700,null,—,700
27,parentAssign,500,700,700,—,700
28,checkLess,500,700,700,left,700
29,goLeft,500,600,700,left,700
30,whileLoop,500,600,700,left,700
31,parentAssign,500,600,600,left,700
32,checkLess,500,600,600,left,700
33,goLeft,500,null,600,left,700
34,whileLoop,500,null,600,left,700
35,attachCheck,500,null,600,left,700
36,attachLeft,500,null,600,left,700
37,returnRoot,500,null,600,left,700
38,mainLoop,400,null,null,—,700
39,callInsert,400,null,null,—,700
40,createNode,400,null,null,—,700
41,checkEmpty,400,null,null,—,700
42,setCurrent,400,700,null,—,700
43,setParent,400,700,null,—,700
44,whileLoop,400,700,null,—,700
45,parentAssign,400,700,700,—,700
46,checkLess,400,700,700,left,700
47,goLeft,400,600,700,left,700
48,whileLoop,400,600,700,left,700
49,parentAssign,400,600,600,left,700
50,checkLess,400,600,600,left,700
51,goLeft,400,500,600,left,700
52,whileLoop,400,500,600,left,700
53,parentAssign,400,500,500,left,700
54,checkLess,400,500,500,left,700
55,goLeft,400,null,500,left,700
56,whileLoop,400,null,500,left,700
57,attachCheck,400,null,500,left,700
58,attachLeft,400,null,500,left,700
59,returnRoot,400,null,500,left,700
60,mainLoop,300,null,null,—,700
61,callInsert,300,null,null,—,700
62,createNode,300,null,null,—,700
63,checkEmpty,300,null,null,—,700
64,setCurrent,300,700,null,—,700
65,setParent,300,700,null,—,700
66,whileLoop,300,700,null,—,700
67,parentAssign,300,700,700,—,700
68,checkLess,300,700,700,left,700
69,goLeft,300,600,700,left,700
70,whileLoop,300,600,700,left,700
71,parentAssign,300,600,600,left,700
72,checkLess,300,600,600,left,700
73,goLeft,300,500,600,left,700
74,whileLoop,300,500,600,left,700
75,parentAssign,300,500,500,left,700
76,checkLess,300,500,500,left,700
77,goLeft,300,400,500,left,700
78,whileLoop,300,400,500,left,700
79,parentAssign,300,400,400,left,700
80,checkLess,300,400,400,left,700
81,goLeft,300,null,400,left,700
82,whileLoop,300,null,400,left,700
83,attachCheck,300,null,400,left,700
84,attachLeft,300,null,400,left,700
85,returnRoot,300,null,400,left,700
86,mainLoop,200,null,null,—,700
87,callInsert,200,null,null,—,700
88,createNode,200,null,null,—,700
89,checkEmpty,200,null,null,—,700
90,setCurrent,200,700,null,—,700
91,setParent,200,700,null,—,700
92,whileLoop,200,700,null,—,700
93,parentAssign,200,700,700,—,700
94,checkLess,200,700,700,left,700
95,goLeft,200,600,700,left,700
96,whileLoop,200,600,700,left,700
97,parentAssign,200,600,600,left,700
98,checkLess,200,600,600,left,700
99,goLeft,200,500,600,left,700
100,whileLoop,200,500,600,left,700
101,parentAssign,200,500,500,left,700
102,checkLess,200,500,500,left,700
103,goLeft,200,400,500,left,700
104,whileLoop,200,400,500,left,700
105,parentAssign,200,400,400,left,700
106,checkLess,200,400,400,left,700
107,goLeft,200,300,400,left,700
108,whileLoop,200,300,400,left,700
109,parentAssign,200,300,300,left,700
110,checkLess,200,300,300,left,700
111,goLeft,200,null,300,left,700
112,whileLoop,200,null,300,left,700
113,attachCheck,200,null,300,left,700
114,attachLeft,200,null,300,left,700
115,returnRoot,200,null,300,left,700
116,mainLoop,100,null,null,—,700
117,callInsert,100,null,null,—,700
118,createNode,100,null,null,—,700
119,checkEmpty,100,null,null,—,700
120,setCurrent,100,700,null,—,700
121,setParent,100,700,null,—,700
122,whileLoop,100,700,null,—,700
123,parentAssign,100,700,700,—,700
124,checkLess,100,700,700,left,700
125,goLeft,100,600,700,left,700
126,whileLoop,100,600,700,left,700
127,parentAssign,100,600,600,left,700
128,checkLess,100,600,600,left,700
129,goLeft,100,500,600,left,700
130,whileLoop,100,500,600,left,700
131,parentAssign,100,500,500,left,700
132,checkLess,100,500,500,left,700
133,goLeft,100,400,500,left,700
134,whileLoop,100,400,500,left,700
135,parentAssign,100,400,400,left,700
136,checkLess,100,400,400,left,700
137,goLeft,100,300,400,left,700
138,whileLoop,100,300,400,left,700
139,parentAssign,100,300,300,left,700
140,checkLess,100,300,300,left,700
141,goLeft,100,200,300,left,700
142,whileLoop,100,200,300,left,700
143,parentAssign,100,200,200,left,700
144,checkLess,100,200,200,left,700
145,goLeft,100,null,200,left,700
146,whileLoop,100,null,200,left,700
147,attachCheck,100,null,200,left,700
148,attachLeft,100,null,200,left,700
149,returnRoot,100,null,200,left,700
