# sequence=2100,1300,800,500,300,200,100,400,700,600,1100,1000,900,1200,1800,1600,1500,1400,1700,2000,1900,2900,2600,2400,2300,2200,2500,2800,2700,3200,3100,3000,3300
Step,StepId,key,current,parent,side,root
1,mainLoop,2100,null,null,—,null
2,callInsert,2100,null,null,—,null
3,createNode,2100,null,null,—,null
4,checkEmpty,2100,null,null,—,null
5,returnNew,2100,2100,null,—,2100
6,mainLoop,1300,null,null,—,2100
7,callInsert,1300,null,null,—,2100
8,createNode,1300,null,null,—,2100
9,checkEmpty,1300,null,null,—,2100
10,setCurrent,1300,2100,null,—,2100
11,setParent,1300,2100,null,—,2100
12,whileLoop,1300,2100,null,—,2100
13,parentAssign,1300,2100,2100,—,2100
14,checkLess,1300,2100,2100,left,2100
15,goLeft,1300,null,2100,left,2100
16,whileLoop,1300,null,2100,left,2100
17,attachCheck,1300,null,2100,left,2100
18,attachLeft,1300,null,2100,left,2100
19,returnRoot,1300,null,2100,left,2100
20,mainLoop,800,null,null,—,2100
21,callInsert,800,null,null,—,2100
22,createNode,800,null,null,—,2100
23,checkEmpty,800,null,null,—,2100
24,setCurrent,800,2100,null,—,2100
25,setParent,800,2100,null,—,2100
26,whileLoop,800,2100,null,—,2100
27,parentAssign,800,2100,2100,—,2100
28,checkLess,800,2100,2100,left,2100
29,goLeft,800,1300,2100,left,2100
30,whileLoop,800,1300,2100,left,2100
31,parentAssign,800,1300,1300,left,2100
32,checkLess,800,1300,1300,left,2100
33,goLeft,800,null,1300,left,2100
34,whileLoop,800,null,1300,left,2100
35,attachCheck,800,null,1300,left,2100
36,attachLeft,800,null,1300,left,2100
37,returnRoot,800,null,1300,left,2100
38,mainLoop,500,null,null,—,2100
39,callInsert,500,null,null,—,2100
40,createNode,500,null,null,—,2100
41,checkEmpty,500,null,null,—,2100
42,setCurrent,500,2100,null,—,2100
43,setParent,500,2100,null,—,2100
44,whileLoop,500,2100,null,—,2100
45,parentAssign,500,2100,2100,—,2100
46,checkLess,500,2100,2100,left,2100
47,goLeft,500,1300,2100,left,2100
48,whileLoop,500,1300,2100,left,2100
49,parentAssign,500,1300,1300,left,2100
50,checkLess,500,1300,1300,left,2100
51,goLeft,500,800,1300,left,2100
52,whileLoop,500,800,1300,left,2100
53,parentAssign,500,800,800,left,2100
54,checkLess,500,800,800,left,2100
55,goLeft,500,null,800,left,2100
56,whileLoop,500,null,800,left,2100
57,attachCheck,500,null,800,left,2100
58,attachLeft,500,null,800,left,2100
59,returnRoot,500,null,800,left,2100
60,mainLoop,300,null,null,—,2100
61,callInsert,300,null,null,—,2100
62,createNode,300,null,null,—,2100
63,checkEmpty,300,null,null,—,2100
64,setCurrent,300,2100,null,—,2100
65,setParent,300,2100,null,—,2100
66,whileLoop,300,2100,null,—,2100
67,parentAssign,300,2100,2100,—,2100
68,checkLess,300,2100,2100,left,2100
69,goLeft,300,1300,2100,left,2100
70,whileLoop,300,1300,2100,left,2100
71,parentAssign,300,1300,1300,left,2100
72,checkLess,300,1300,1300,left,2100
73,goLeft,300,800,1300,left,2100
74,whileLoop,300,800,1300,left,2100
75,parentAssign,300,800,800,left,2100
76,checkLess,300,800,800,left,2100
77,goLeft,300,500,800,left,2100
78,whileLoop,300,500,800,left,2100
79,parentAssign,300,500,500,left,2100
80,checkLess,300,500,500,left,2100
81,goLeft,300,null,500,left,2100
82,whileLoop,300,null,500,left,2100
83,attachCheck,300,null,500,left,2100
84,attachLeft,300,null,500,left,2100
85,returnRoot,300,null,500,left,2100
86,mainLoop,200,null,null,—,2100
87,callInsert,200,null,null,—,2100
88,createNode,200,null,null,—,2100
89,checkEmpty,200,null,null,—,2100
90,setCurrent,200,2100,null,—,2100
91,setParent,200,2100,null,—,2100
92,whileLoop,200,2100,null,—,2100
93,parentAssign,200,2100,2100,—,2100
94,checkLess,200,2100,2100,left,2100
95,goLeft,200,1300,2100,left,2100
96,whileLoop,200,1300,2100,left,2100
97,parentAssign,200,1300,1300,left,2100
98,checkLess,200,1300,1300,left,2100
99,goLeft,200,800,1300,left,2100
100,whileLoop,200,800,1300,left,2100
101,parentAssign,200,800,800,left,2100
102,checkLess,200,800,800,left,2100
103,goLeft,200,500,800,left,2100
104,whileLoop,200,500,800,left,2100
105,parentAssign,200,500,500,left,2100
106,checkLess,200,500,500,left,2100
107,goLeft,200,300,500,left,2100
108,whileLoop,200,300,500,left,2100
109,parentAssign,200,300,300,left,2100
110,checkLess,200,300,300,left,2100
111,goLeft,200,null,300,left,2100
112,whileLoop,200,null,300,left,2100
113,attachCheck,200,null,300,left,2100
114,attachLeft,200,null,300,left,2100
115,returnRoot,200,null,300,left,2100
116,mainLoop,100,null,null,—,2100
117,callInsert,100,null,null,—,2100
118,createNode,100,null,null,—,2100
119,checkEmpty,100,null,null,—,2100
120,setCurrent,100,2100,null,—,2100
121,setParent,100,2100,null,—,2100
122,whileLoop,100,2100,null,—,2100
123,parentAssign,100,2100,2100,—,2100
124,checkLess,100,2100,2100,left,2100
125,goLeft,100,1300,2100,left,2100
126,whileLoop,100,1300,2100,left,2100
127,parentAssign,100,1300,1300,left,2100
128,checkLess,100,1300,1300,left,2100
129,goLeft,100,800,1300,left,2100
130,whileLoop,100,800,1300,left,2100
131,parentAssign,100,800,800,left,2100
132,checkLess,100,800,800,left,2100
133,goLeft,100,500,800,left,2100
134,whileLoop,100,500,800,left,2100
135,parentAssign,100,500,500,left,2100
136,checkLess,100,500,500,left,2100
137,goLeft,100,300,500,left,2100
138,whileLoop,100,300,500,left,2100
139,parentAssign,100,300,300,left,2100
140,checkLess,100,300,300,left,2100
141,goLeft,100,200,300,left,2100
142,whileLoop,100,200,300,left,2100
143,parentAssign,100,200,200,left,2100
144,checkLess,100,200,200,left,2100
145,goLeft,100,null,200,left,2100
146,whileLoop,100,null,200,left,2100
147,attachCheck,100,null,200,left,2100
148,attachLeft,100,null,200,left,2100
149,returnRoot,100,null,200,left,2100
150,mainLoop,400,null,null,—,2100
151,callInsert,400,null,null,—,2100
152,createNode,400,null,null,—,2100
153,checkEmpty,400,null,null,—,2100
154,setCurrent,400,2100,null,—,2100
155,setParent,400,2100,null,—,2100
156,whileLoop,400,2100,null,—,2100
157,parentAssign,400,2100,2100,—,2100
158,checkLess,400,2100,2100,left,2100
159,goLeft,400,1300,2100,left,2100
160,whileLoop,400,1300,2100,left,2100
161,parentAssign,400,1300,1300,left,2100
162,checkLess,400,1300,1300,left,2100
163,goLeft,400,800,1300,left,2100
164,whileLoop,400,800,1300,left,2100
165,parentAssign,400,800,800,left,2100
166,checkLess,400,800,800,left,2100
167,goLeft,400,500,800,left,2100
168,whileLoop,400,500,800,left,2100
169,parentAssign,400,500,500,left,2100
170,checkLess,400,500,500,left,2100
171,goLeft,400,300,500,left,2100
172,whileLoop,400,300,500,left,2100
173,parentAssign,400,300,300,left,2100
174,checkLess,400,300,300,right,2100
175,goRight,400,null,300,right,2100
176,whileLoop,400,null,300,right,2100
177,attachCheck,400,null,300,right,2100
178,attachRight,400,null,300,right,2100
179,returnRoot,400,null,300,right,2100
180,mainLoop,700,null,null,—,2100
181,callInsert,700,null,null,—,2100
182,createNode,700,null,null,—,2100
183,checkEmpty,700,null,null,—,2100
184,setCurrent,700,2100,null,—,2100
185,setParent,700,2100,null,—,2100
186,whileLoop,700,2100,null,—,2100
187,parentAssign,700,2100,2100,—,2100
188,checkLess,700,2100,2100,left,2100
189,goLeft,700,1300,2100,left,2100
190,whileLoop,700,1300,2100,left,2100
191,parentAssign,700,1300,1300,left,2100
192,checkLess,700,1300,1300,left,2100
193,goLeft,700,800,1300,left,2100
194,whileLoop,700,800,1300,left,2100
195,parentAssign,700,800,800,left,2100
196,checkLess,700,800,800,left,2100
197,goLeft,700,500,800,left,2100
198,whileLoop,700,500,800,left,2100
199,parentAssign,700,500,500,left,2100
200,checkLess,700,500,500,right,2100
201,goRight,700,null,500,right,2100
202,whileLoop,700,null,500,right,2100
203,attachCheck,700,null,500,right,2100
204,attachRight,700,null,500,right,2100
205,returnRoot,700,null,500,right,2100
206,mainLoop,600,null,null,—,2100
207,callInsert,600,null,null,—,2100
208,createNode,600,null,null,—,2100
209,checkEmpty,600,null,null,—,2100
210,setCurrent,600,2100,null,—,2100
211,setParent,600,2100,null,—,2100
212,whileLoop,600,2100,null,—,2100
213,parentAssign,600,2100,2100,—,2100
214,checkLess,600,2100,2100,left,2100
215,goLeft,600,1300,2100,left,2100
216,whileLoop,600,1300,2100,left,2100
217,parentAssign,600,1300,1300,left,2100
218,checkLess,600,1300,1300,left,2100
219,goLeft,600,800,1300,left,2100
220,whileLoop,600,800,1300,left,2100
221,parentAssign,600,800,800,left,2100
222,checkLess,600,800,800,left,2100
223,goLeft,600,500,800,left,2100
224,whileLoop,600,500,800,left,2100
225,parentAssign,600,500,500,left,2100
226,checkLess,600,500,500,right,2100
227,goRight,600,700,500,right,2100
228,whileLoop,600,700,500,right,2100
229,parentAssign,600,700,700,right,2100
230,checkLess,600,700,700,left,2100
231,goLeft,600,null,700,left,2100
232,whileLoop,600,null,700,left,2100
233,attachCheck,600,null,700,left,2100
234,attachLeft,600,null,700,left,2100
235,returnRoot,600,null,700,left,2100
236,mainLoop,1100,null,null,—,2100
237,callInsert,1100,null,null,—,2100
238,createNode,1100,null,null,—,2100
239,checkEmpty,1100,null,null,—,2100
240,setCurrent,1100,2100,null,—,2100
241,setParent,1100,2100,null,—,2100
242,whileLoop,1100,2100,null,—,2100
243,parentAssign,1100,2100,2100,—,2100
244,checkLess,1100,2100,2100,left,2100
245,goLeft,1100,1300,2100,left,2100
246,whileLoop,1100,1300,2100,left,2100
247,parentAssign,1100,1300,1300,left,2100
248,checkLess,1100,1300,1300,left,2100
249,goLeft,1100,800,1300,left,2100
250,whileLoop,1100,800,1300,left,2100
251,parentAssign,1100,800,800,left,2100
252,checkLess,1100,800,800,right,2100
253,goRight,1100,null,800,right,2100
254,whileLoop,1100,null,800,right,2100
255,attachCheck,1100,null,800,right,2100
256,attachRight,1100,null,800,right,2100
257,returnRoot,1100,null,800,right,2100
